Numara,Kelime,Es
1,Abide,Anit
2,Acayip,Garip
3,Acima,Merhamet
4,Acikgoz,Kurnaz
5,Ad,Isim
6,Adale,Kas
7,Adet,Tane
8,Adil,Zamir
9,Adi,Bayagi
10,Aferin,Bravo
11,Affetmek,Bagislamak
12,Ahenk,Uyum
13,Akil,Us
14,Aksi,Ters
15,Al,Kirmizi
16,Alaka,Ilgi
17,Alaz,Alev
18,Alelade,Siradan
19,Allah,Tanri
20,Ama,Fakat
21,Ama,Kor
22,Amac,Erek
23,Amade,Hazir
24,Amale,Isci
25,Amel,Is
26,Ana,Anne
27,Ani,Hatira
28,Aniden,Birden
29,Anlam,Mana
30,Anlatim,Ifade
31,Ant,Yemin
32,Apse,Iltihap
33,Arac,Vasita
34,Ariza,Bozukluk
35,Arka,Geri
36,Armagan,Hediye
37,Art,Arka
38,Arzu,Istek
39,Asir,YUzyil
40,Asil,Soylu
41,As,Yemek
42,Asirmak,calmak
43,Ata,Cet
44,Atak,Girisken
45,Atamak,Tayin Etmek
46,Atolye,Islik
47,Avare,Serseri
48,Ayakyolu,Tuvalet
49,Ayrac,Parantez
50,Ayricalik,Imtiyaz
51,Aza,Uye
52,Acemi,Toy
53,Adalet,Hak
54,Aka,BUyUk
55,Aleni,Acik
56,Ara,Fasila
57,Ayakkabi,Pabuc
58,Bagislamak,Affetmek
59,Bagnaz,Yobaz
60,Bakis,Nazar
61,Baris,Sulh
62,Basimevi,Matbaa
63,Basit,Yalin
64,Baskaldiri,Isyan
65,Baskan,Reis
66,Baskent,Bassehir
67,Basvuru,MUracaat
68,Bati,Garp
69,Bayagi,Adi
70,Bayindir,Mamur
71,Bayindirlik,Imar
72,Baytar,Veteriner
73,Begeni,Gusto
74,Belde,Sehir
75,Belge,Vesika
76,Bellek,Hafiza
77,Bencil,Egoist
78,Benlik,Kisilik
79,Beraber,Birlikte
80,Bereket,Bolluk
81,Berrak,Duru
82,Besin,Gida
83,Beyanat,Demec
84,Beyaz,Ak
85,Beygir,At
86,Beyhude,Bosuna
87,Bicare,Zavalli
88,Bicim,Sekil
89,Bilakis,Tersine
90,Bilgin,Alim
91,Bilgisiz,Cahil
92,Bilhassa,ozellikle
93,Bilim,Ilim
94,Bilgisiz,Cahil
95,Bilinc,Suur
96,Bina,Yapi
97,Birden,Ani
98,Birdenbire,Aniden
99,Birey,Fert
100,Biricik,Tek
101,Bitki,Nebat
102,Boylam,Meridyen
103,Bozkir,Step
104,Bucak,Nahiye
105,Bugu,Buhar
106,Buhran,Bunalim
107,Buyruk,Emir
108,BUro,Ofis
